,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
314,"For those few examples, we are then suppose to accept their belief that if we have registration in the USA the eventual nextstep will be a confiscation of guns and a destruction of the right to bear arms.",01 Health and Safety,Threatened,the right to bear arms,destruction of [threatened],destruction of,right to bear arms,Gun Rights,destruction,Physical Harm,2665606,,
591,They admonish us for wanting the right to defend ourselves in the most efficient way available (private firearms ownership) while at the same time surrounding themselves with a shield of guns.,03 Conflict,Aid,guns,,shield,guns,Guns,shield,Protection,3124103,,
1575,Ted Nugent is the God father of gun rights.,10 Human Life Cycle and Family Relations,Child,gun rights,father of [child],father of,gun rights,Gun Rights,God father,Family,2377273,,
275,"Everything changed in the 1970s when conservative groups challenged gun control and overturned laws in state legislatures, giving the Second Amendment a new interpretation considered by liberals and conservatives alike to be one of the biggest pieces of fraud on the American public.",01 Health and Safety,Threatened,gun control,,challenged,gun control,Control of Guns,challenged,Competition,2377006,,
1331,Each one of those laws adds some gun control that can be built on.,05 Engineering and Business: Resource,Change Type,INCREASE,,adds some,gun control,Control of Guns,adds,Resource,2171291,,
421,He is working with CIRA on a statewide effort to attack poverty with sustainability initiatives.,01 Health and Safety,Threatened,poverty,,attack,poverty,Poverty,attack,War,3023943,,
1167,The church needs to clean up it's own closet AND backyard and fully remain OUT of the gun control business!!!,05 Engineering and Business: Business,Business,gun control,the [business] business,the gun control business,gun control,Control of Guns,business,Business,2376995,,
283,It is my personal opinion that a corrupt democracy is superior to an efficient dictatorship because of that exact reason.,01 Health and Safety,Threatened,democracy,,corrupt,democracy,Democracy,corrupt,Crime/Contamination,163628,,
854,Mr. Bloomberg said last week that he would work to defeat Republicans and Democrats alike who opposed gun control.,03 Conflict,Side,gun control,,opposed,gun control,Control of Guns,opposed,Competition/Struggle,2161855,,
795,"No amendment is 100% one way or another, and your gun team purposely creates a hyper stalemate to exacerbate the problem.",03 Conflict,Enemy/Side,your gun team,,team,gun,Guns,team,Game,,,
1016,His election victory was a high point in the history of post Civil War Illinois.,03 Conflict,Winner,election,,victory,election,Elections,victory,Competition/Game/Struggle,1686568,,
364,"No, I want to protect gun rights to save individual lives.",01 Health and Safety,Threatened,gun rights,,protect,gun rights,Gun Rights,protect,Protection,2907888,,
633,"As mentioned earlier, we can see selling of illegal drugs as an answer to the conflict of poverty for young black men.",03 Conflict,Conflict,poverty,,conflict,poverty,Poverty,conflict,Struggle,2378505,,
558,The wind goes out of the sails of democracy very quickly when those in power show time and again they will do absolutely anything to stay in power.,02 Journey,Vehicle,democracy,the sails of [vehicle],sails of,democracy,Democracy,sails,Vehicle,156292,,
377,Yeah right you go on protecting the guns and lets see what that gets us.,01 Health and Safety,Threatened,guns,,protecting,guns,Guns,protecting,Protection,2168586,,
1394,Gun control is treason.,06 Morality and Justice,Crime,Gun control,[crime] is treason,is treason,Gun control,Control of Guns,treason,Crime,2620332,,
197,"The coorelation may not be direct, but it sure is funny and negates the ""Gun control reduces crime"" nonsense.",01 Health and Safety,Threat,gun control,,reduces,Gun control,Control of Guns,reduces,Physical Burden,2137468,,
1134,Guns enslave a hell of a lot more frequently than they liberate.,04 Power and Control: Human,Leader,Guns,,enslave,Guns,Guns,enslave,Enslavement,2377209,,
1766,And how government is boiling over with too much interference in private life,14 Embodied Experience: Temperature,Hot,government,[hot] is boiling,is boiling,government,Government,boiling,Temperature,153445,,
840,But the guns are winning.,03 Conflict,Side,guns,,winning,guns,Guns,winning,Competition,3123915,,
1256,"By making government more accountable, reducing abuses of power and expanding social services, progressives have strengthened American democracy.",05 Engineering and Business: Engineering,Built,democracy,,strengthened,democracy,Democracy,strengthened,Building/Strength,2668240,,
1486,"Sure, but I don't think that he stole the election from my guy with some huge conspiracy!",06 Morality and Justice,Property,election,,stole,election,Elections,stole,Theft,2509046,,
227,Higher taxes on the rich will hurt small businesses and discourage job creatorsA recent Treasury analysis found that only 2.5% of small businesses would face higher taxes from the expiration of the Bush tax cuts.,01 Health and Safety,Threat,taxes,,hurt,taxes,Taxation,hurt,Physical Harm,2886564,,
1761,"China's industrial production for October rose by 15.7 percent, lower than 16.1 percent in September, data from the State Information Center. Now Chinese government is cooling the overly fast growing economy, and the falling of industrial production can ease the worry about the speedup of economic growth, expressed Michael Spencer, chief economist at Deutsche Bank Hong Kong branch. If the to-be-announced economic statistics show a slowed economic growth as the industrial production does, the central bank will unlikely raise the interest rates recently, concludedsome analysts.",14 Embodied Experience: Temperature,Agent,Chinese government,[agent] is cooling ,cooling,government,Government,cooling,Temperature,1973699,,
888,"Several times the Urartian kings of this period claimed, probably with justification, to have defeated Assyrian armies: Argishti reported victories over the Assyrians in his sixth and seventh regnal years, when he operated in the Zab and Lake Urmia areas; and Sarduri II defeated the Assyrian king Ashur-nirari V in the upper basin of the Tigris River about 753.",03 Conflict,Side,armies,,defeated,armies,Bureaucracy,defeated,Struggle,503562,,
190,"AP: I think the unchecked power of the corporations over the last 100 years has played a key role in the destruction of democracy in many, many areas.",01 Health and Safety,Threat,democracy,,destruction,democracy,Democracy,destruction,Natural Physical Force/Physical Harm,155779,,
688,Obama is making twitter a leading battlefront in the war of gun control as this is the sort of thing that the media understands and follows.,03 Conflict,Conflict,gun control,,war,gun control,Control of Guns,war,War,2378743,,
150,"I have NEVER said anything about ""gun control reduces crime"".......",01 Health and Safety,Threat,gun control,,reduces,gun control,Control of Guns,reduces,Downward Movement/Physical Burden,2137449,,
378,Leaders from some of the nation&apos;s largest Christian congregations are urging President Obama and members of Congress to find a way to agree on new revenue and spending cuts that will reduce the deficit while protecting the poorest Americans.,01 Health and Safety,Threatened,Americans,,protecting,Americans,Poverty,protecting,Protection,2659726,,
1070,How would such requirements violate your sacred 2nd Amendment?,04 Power and Control: God,God,2nd amendment,,sacred,2nd amendment,Gun Rights,sacred,A God,3786564,,
1124,Gun control enslaves free people,04 Power and Control: Human,Degree,HIGH,,enslaves,Gun control,Control of Guns,enslaves,Enslavement,2377218,,
103,"The same government is now addicted to the tax revenue collected from real killer drugs, alcohol and cigarettes.",01 Health and Safety,Threat,"the tax revenue collected from real killer drugs, alcohol and cigarettes.",is addicted to [threat],addicted,government,Government,addicted,Addiction,153080,,
1456,Sometimes I wonder if wealth steals our joy.,06 Morality and Justice,Criminal,wealth,,steals,wealth,Wealth,steals,Theft,2378534,,
718,"Denmark and the World Bank work together with other member governments to finance projects, design policies and deliver programs to combat poverty in the developing world.",03 Conflict,Enemy,poverty,,combat,poverty,Poverty,combat,Struggle,2671359,,
742,Fighting poverty index,03 Conflict,Enemy,poverty index,,Fighting,poverty,Poverty,Fighting,Struggle,2666432,,
864,The industry had played the gun-nut rubes for fools.,03 Conflict,Side,the industry,[side] played,played,gun-nut,Guns,played,Game,,,
1508,"Well I disagree that the more important right must mean that its abuse is also more important, again I call attention to the scale of the problem that abuse of gun rights is far higher than abuse of voting rights.",06 Morality and Justice,Victim,gun rights,,abuse,gun rights,Gun Rights,abuse,Crime/Physical Harm,2100875,,
337,I have a right to defend my gun rights and will to the end.,01 Health and Safety,Threatened,gun rights,defend [threatened],defend,gun rights,Gun Rights,defend,Protection,2729239,,
1209,"Since we make most of this site available without charge to you, we rely heavily on advertisers to produce the income necessary to operate our site.",05 Engineering and Business: Business,Product,income,,produce,income,Wealth,produce,Factory/Resource,2792778,,
